"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","low","18.6","78.2","0.6","4.0","44.0","0.0","0.1","24.8"
"La'Mical Perine","NYJ","32.6","137.2","1.0","4.3","31.4","0.2","0.2","27.5"
"","high","49.9","210.9","1.5","4.5","31.6","0.2","0.2","38.0"
"","low","15.2","63.4","0.5","4.1","31.2","0.1","0.2","17.5"
"Ito Smith","ARI","26.7","112.2","1.0","5.7","39.1","0.2","0.2","27.5"
"","high","43.9","184.5","1.6","6.8","48.0","0.3","0.2","39.9"
"","low","9.5","39.9","0.3","4.7","30.3","0.2","0.2","15.7"
"Jerick McKinnon","KC","21.5","95.0","0.4","6.8","48.2","0.2","0.1","24.8"
"","high","27.0","128.0","0.7","9.6","74.9","0.4","0.1","28.2"
"","low","17.8","73.3","0.0","4.7","34.7","0.0","0.1","23.1"
"Anthony McFarland Jr.","PIT","30.3","116.2","0.5","5.7","45.0","0.1","0.6","24.5"
"","high","55.0","187.0","1.0","10.0","79.0","0.2","0.1","34.8"
"","low","12.3","52.9","0.0","2.9","19.4","0.0","1.0","15.6"
"Raymond Calais","LAR","23.1","97.6","0.8","4.6","35.5","0.2","0.1","24.2"
"","high","26.0","111.2","0.9","4.7","37.7","0.3","0.1","25.0"
"","low","20.2","84.0","0.8","4.5","33.4","0.2","0.1","23.2"
"Chris Evans","CIN","24.4","96.9","0.4","4.4","32.8","0.2","0.1","20.6"
"","high","26.8","111.7","0.9","8.8","65.6","0.3","0.1","28.9"
"","low","22.0","82.0","0.0","0.0","0.0","0.0","0.1","12.6"
"Justice Hill","BAL","19.1","87.8","0.6","4.3","30.9","0.1","0.1","20.2"
"","high","32.0","155.0","1.0","7.1","54.1","0.4","0.1","29.2"
"","low","1.2","4.8","0.0","0.7","4.7","0.0","0.1","5.7"
"Ameer Abdullah","MIN","15.4","68.7","0.1","6.2","43.8","0.4","0.0","20.1"
"","high","24.0","124.0","0.4","9.0","61.0","1.0","0.0","30.7"
"","low","2.3","9.8","0.0","2.0","14.8","0.0","0.1","9.7"
"Kylin Hill","GB","25.2","101.9","0.3","3.7","27.8","0.1","0.1","18.7"
"","high","34.0","136.0","0.6","4.3","33.6","0.2","0.1","19.5"
"","low","16.3","67.8","0.0","3.0","22.0","0.0","0.1","18.2"
"Patrick Ricard","BAL","0.9","1.4","0.0","8.8","58.4","0.8","0.5","18.6"
"","high","1.7","7.2","0.0","17.0","103.0","2.0","0.1","30.8"
"","low","0.0","-3.0","0.0","2.5","15.7","0.2","1.0","12.4"
"Demetric Felton","CLE","18.7","90.2","0.7","2.5","20.6","0.0","0.0","17.8"
"","high","28.0","141.0","1.0","3.0","26.0","0.1","0.0","25.2"
"","low","9.3","39.4","0.4","1.9","15.2","0.0","0.0","10.6"
"Jeremy McNichols","TEN","19.4","87.4","0.3","3.6","22.8","0.0","0.0","16.6"
"","high","37.0","165.0","1.0","5.0","41.0","0.0","0.0","28.3"
"","low","1.2","5.2","0.0","0.9","5.3","0.0","0.0","5.1"
"Alec Ingold","LV","4.4","18.8","0.2","6.6","54.5","0.3","0.1","16.4"
"","high","4.5","19.3","0.2","8.4","73.9","0.4","0.1","18.8"
"","low","4.4","18.3","0.1","4.8","35.1","0.2","0.1","14.1"
"Trey Edmunds","PIT","14.8","64.0","0.4","3.9","25.8","0.2","0.0","16.3"
"","high","14.8","64.0","0.4","3.9","25.8","0.2","0.0","16.2"
"","low","14.8","64.0","0.4","3.9","25.8","0.2","0.0","16.2"
"Travis Homer","SEA","15.5","65.7","0.3","4.2","30.5","0.1","0.1","16.0"
"","high","26.4","111.6","0.8","6.0","44.0","0.2","0.1","24.6"
"","low","2.2","9.5","0.0","2.2","16.0","0.0","0.1","7.9"
"Gerrid Doaks","MIA","12.2","50.9","0.4","4.4","32.8","0.1","0.1","16.0"
"","high","12.2","50.9","0.4","4.4","32.8","0.1","0.1","16.0"
"","low","12.2","50.9","0.4","4.4","32.8","0.1","0.1","16.0"
"Rico Dowdle","DAL","15.5","64.6","0.5","3.3","26.5","0.1","0.0","15.6"
"","high","33.0","136.0","1.0","4.9","38.7","0.2","0.0","26.3"
"","low","0.9","3.8","0.0","0.9","6.8","0.0","0.1","4.7"
