"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"C.J. Prosise","TB","0.9","3.6","0.0","1.0","7.0","0.0","0.0","2.0"
"Taiwan Jones","BUF","1.1","4.7","0.0","0.9","7.0","0.0","0.0","2.0"
"Elijah McGuire","KC","0.9","3.5","0.0","0.9","7.2","0.0","0.0","2.0"
"Jason Cabinda","DET","0.8","3.5","0.0","1.0","6.1","0.0","0.0","1.9"
"Ryan Nall","CHI","0.9","3.9","0.0","0.9","6.3","0.0","0.0","1.9"
"Artavis Pierce","CHI","0.9","3.9","0.0","0.9","6.2","0.0","0.0","1.9"
"Jason Huntley","PHI","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.8"
"Adrian Killins Jr.","DEN","0.9","3.9","0.0","0.9","6.1","0.0","0.0","1.8"
"LeVante Bellamy","DEN","1.0","4.4","0.0","0.9","5.5","0.0","0.0","1.8"
"Austin Walter","NYJ","0.9","3.6","0.0","0.9","6.3","0.0","0.0","1.8"
"Nathan Cottrell","JAC","0.9","3.6","0.0","0.9","6.2","0.0","0.0","1.8"
"Damarea Crockett","DEN","1.0","4.2","0.0","0.9","5.5","0.0","0.0","1.8"
"Scottie Phillips","HOU","0.8","3.5","0.0","0.9","6.0","0.0","0.0","1.8"
"Jordan Scarlett","MIA","0.9","3.9","0.0","0.9","5.3","0.0","0.0","1.8"
"Taquan Mizzell","NYG","0.9","3.7","0.0","0.9","5.4","0.0","0.0","1.8"
"Cullen Gillaspia","NYG","0.9","3.7","0.0","0.9","5.2","0.0","0.0","1.7"
"Tony Jones Jr.","NO","0.9","0.7","0.0","0.2","0.4","0.0","0.0","0.3"
""
""
