"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Trent Taylor","CIN","3.9","40.0","0.2","0.0","0.0","0.0","0.0","9.4"
"Jakeem Grant Sr.","MIA","3.2","35.1","0.2","1.5","8.4","0.0","0.0","9.1"
"Zay Jones","LV","3.3","37.3","0.3","0.0","0.0","0.0","0.0","8.8"
"Dazz Newsome","CHI","3.3","42.6","0.2","0.0","0.0","0.0","0.0","8.7"
"Gunner Olszewski","NE","2.8","33.8","0.2","1.8","9.7","0.1","0.0","8.5"
"Marcus Kemp","KC","2.4","30.5","0.2","0.0","0.0","0.0","0.0","6.7"
"Devin Funchess","GB","2.0","26.0","0.2","0.0","0.0","0.0","0.0","5.8"
"Isaac Whitney","ARI","2.1","24.1","0.2","0.0","0.0","0.0","0.0","5.5"
"Kawaan Baker","NO","1.9","25.8","0.1","0.0","0.0","0.0","0.0","5.3"
"Terry Godwin","JAC","2.0","22.5","0.2","0.0","0.0","0.0","0.0","5.3"
"Brandon Powell","BUF","2.0","21.8","0.2","0.0","0.0","0.0","0.0","5.2"
"Justin Watson","TB","1.9","23.3","0.2","0.0","0.0","0.0","0.0","5.2"
"J.J. Arcega-Whiteside","PHI","1.6","23.3","0.2","0.0","0.0","0.0","0.0","4.9"
"Braxton Berrios","NYJ","1.5","17.4","0.1","1.0","5.8","0.0","0.0","4.4"
"K.J. Hill Jr.","LAC","1.4","16.7","0.1","1.0","6.2","0.0","0.0","4.4"
"Seth Williams","DEN","1.7","20.3","0.1","0.0","0.0","0.0","0.0","4.3"
"Dezmon Patmon","IND","1.6","20.5","0.1","0.0","0.0","0.0","0.0","4.3"
"Mike Strachan","IND","1.6","20.5","0.1","0.0","0.0","0.0","0.0","4.3"
"Allen Hurns","MIA","1.6","16.7","0.2","0.0","0.0","0.0","0.0","4.3"
"Racey McMath","TEN","1.5","19.3","0.1","0.0","0.0","0.0","0.0","4.3"
"Equanimeous St. Brown","GB","1.3","17.1","0.2","0.0","0.0","0.0","0.0","4.1"
"Travis Benjamin","SF","1.2","17.3","0.2","0.0","0.0","0.0","0.0","3.9"
"Malik Taylor","GB","1.2","13.8","0.2","0.0","0.0","0.0","0.0","3.6"
"Isaiah Ford","MIA","1.6","15.0","0.1","0.0","0.0","0.0","0.0","3.4"
"Malcolm Perry","MIA","0.9","9.1","0.0","1.8","9.4","0.1","0.0","3.2"
"Brandon Zylstra","CAR","1.2","15.2","0.1","0.0","0.0","0.0","0.0","3.0"
"Kendall Hinton","DEN","1.1","12.1","0.0","1.2","6.4","0.0","0.0","3.0"
"Trey Quinn","LV","1.2","12.3","0.0","0.0","0.0","0.0","0.0","2.4"
"Joe Reed","LAC","0.8","9.4","0.0","0.9","4.8","0.0","0.0","2.3"
"Matt Cole","NYG","0.9","9.5","0.0","0.9","4.3","0.0","0.0","2.2"
"Damion Ratley","DET","1.0","11.6","0.0","0.0","0.0","0.0","0.0","2.2"
"Antonio Callaway","KC","0.9","11.1","0.0","0.0","0.0","0.0","0.0","2.0"
"DeMichael Harris","IND","0.7","8.1","0.0","0.9","4.7","0.0","0.0","2.0"
"Malik Turner","DAL","0.9","10.6","0.0","0.0","0.0","0.0","0.0","1.9"
"Kelvin Harmon","WAS","0.8","10.6","0.0","0.0","0.0","0.0","0.0","1.9"
"DeAndre Carter","WAS","0.9","10.4","0.0","0.0","0.0","0.0","0.0","1.9"
"Vyncint Smith","NYJ","0.9","10.1","0.0","0.0","0.0","0.0","0.0","1.9"
"Gehrig Dieter","KC","0.9","9.7","0.0","0.0","0.0","0.0","0.0","1.8"
"Isaiah Wright","WAS","0.9","9.6","0.0","0.0","0.0","0.0","0.0","1.8"
"Nsimba Webster","SF","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Darrius Shepherd","KC","0.9","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Josh Malone","NYJ","0.9","9.4","0.0","0.0","0.0","0.0","0.0","1.8"
"Jason Moore","LAC","0.8","9.5","0.0","0.0","0.0","0.0","0.0","1.8"
"Jeff Badet","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Chris Rowland","ATL","0.9","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Chad Hansen","DET","0.9","9.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Keelan Doss","LV","0.8","9.3","0.0","0.0","0.0","0.0","0.0","1.8"
"Tanner Gentry","BUF","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.8"
"Cyril Grayson Jr.","TB","0.9","9.0","0.0","0.0","0.0","0.0","0.0","1.8"
"Trenton Irwin","CIN","0.8","9.2","0.0","0.0","0.0","0.0","0.0","1.7"
"Lawrence Cager","NYJ","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Chad Williams","KC","0.8","8.8","0.0","0.0","0.0","0.0","0.0","1.7"
"John Ursua","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Darvin Kidsy","SEA","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Stanley Morgan Jr.","CIN","0.8","9.0","0.0","0.0","0.0","0.0","0.0","1.7"
"Laquon Treadwell","JAC","0.8","8.4","0.0","0.0","0.0","0.0","0.0","1.7"
"John Hightower","PHI","0.7","9.8","0.0","0.0","0.0","0.0","0.0","1.7"
"Marcell Ateman","LV","0.7","9.1","0.0","0.0","0.0","0.0","0.0","1.6"
"Jake Lampman","NO","0.7","9.4","0.0","0.0","0.0","0.0","0.0","1.6"
"Robert Foster","MIA","0.7","8.7","0.0","0.0","0.0","0.0","0.0","1.6"
"Mack Hollins","MIA","0.8","8.0","0.0","0.0","0.0","0.0","0.0","1.6"
"KhaDarel Hodge","CLE","0.7","8.8","0.0","0.0","0.0","0.0","0.0","1.6"
"Derrick Willies","CLE","0.7","8.6","0.0","0.0","0.0","0.0","0.0","1.6"
"Marvin Hall","NE","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.6"
